bus,plateNumber,route_id,request_id,user_id,request_created_at,route_departure_name,route_departure_id,route_arrival_name,route_arrival_id,request_accepted_at,request_etd,request_eta,route_atd,route_ata,passengers,request_departure_name,request_departure_id,request_arrival_name,request_arrival_id,status
1,IPT 7084,287,307,47,2024-04-24 07:15:36.219000,Trochaia,9,Aigaiou,7,2024-04-24 07:15:36.141104,2024-04-24 07:18:53.000000,2024-04-24 07:31:23.000000,2024-04-24 07:29:10.792862,2024-04-24 07:34:22.773124,1,Plateia Vergoti,2,Aigaiou,7,COMPLETED
2,IPO 7757,289,309,29,2024-04-24 07:35:38.961000,Plateia Glyfadas,1,Kyprou,3,2024-04-24 07:35:38.421819,2024-04-24 07:43:19.000000,2024-04-24 07:50:55.000000,2024-04-24 07:41:57.298989,2024-04-24 07:49:47.781506,1,Plateia Glyfadas,1,Kyprou,3,COMPLETED
1,IPT 7084,288,310,23,2024-04-24 07:36:24.443000,Aigaiou,7,Trochaia,9,2024-04-24 07:36:25.631994,2024-04-24 07:36:24.000000,2024-04-24 07:43:39.000000,2024-04-24 07:37:02.442063,2024-04-24 07:44:05.961846,1,Aigaiou,7,Trochaia,9,COMPLETED
3,IPT 7081,293,311,86,2024-04-24 07:36:29.101000,Plateia Vergoti,2,Plateia Glyfadas,1,2024-04-24 07:36:29.305006,2024-04-24 07:48:25.000000,2024-04-24 07:51:15.000000,2024-04-24 07:54:20.864361,2024-04-24 07:59:34.956993,1,Plateia Vergoti,2,Plateia Glyfadas,1,COMPLETED
1,IPT 7084,290,312,27,2024-04-24 07:36:32.927000,Trochaia,9,Kyprou,3,2024-04-24 07:36:33.111222,2024-04-24 07:43:39.000000,2024-04-24 07:54:47.000000,2024-04-24 07:44:06.232550,2024-04-24 07:53:35.606761,1,Trochaia,9,Kyprou,3,COMPLETED
1,IPT 7084,294,313,25,2024-04-24 07:36:53.126000,Gymnasio,4,Plateia Karaiskaki,11,2024-04-24 07:36:53.309919,2024-04-24 08:00:12.000000,2024-04-24 08:10:15.000000,2024-04-24 07:59:40.859469,2024-04-24 08:11:27.757847,1,Gymnasio,4,Plateia Karaiskaki,11,COMPLETED
1,IPT 7084,290,314,47,2024-04-24 07:37:44.380000,Trochaia,9,Kyprou,3,2024-04-24 07:37:44.357497,2024-04-24 07:43:39.000000,2024-04-24 07:54:47.000000,2024-04-24 07:44:06.232550,2024-04-24 07:53:35.606761,1,Trochaia,9,Kyprou,3,COMPLETED
2,IPO 7757,291,315,29,2024-04-24 07:52:53.681000,Kyprou,3,Gymnasio,4,2024-04-24 07:52:53.181985,2024-04-24 07:52:53.000000,2024-04-24 07:58:17.000000,2024-04-24 07:53:07.219196,2024-04-24 08:00:08.941406,1,Kyprou,3,Gymnasio,4,COMPLETED
2,IPO 7757,295,316,48,2024-04-24 08:00:23.332000,Gymnasio,4,Kyprou,3,2024-04-24 08:00:23.490319,2024-04-24 08:00:23.000000,2024-04-24 08:05:34.000000,2024-04-24 08:00:43.652199,2024-04-24 08:01:04.603221,1,Gymnasio,4,Kyprou,3,COMPLETED
2,IPO 7757,296,317,29,2024-04-24 08:01:19.837000,Gymnasio,4,Agia Triada,5,2024-04-24 08:01:19.344943,2024-04-24 08:06:42.000000,2024-04-24 08:04:19.000000,2024-04-24 08:01:27.118502,2024-04-24 08:04:19.210635,1,Gymnasio,4,Agia Triada,5,COMPLETED
2,IPO 7757,298,318,86,2024-04-24 08:02:12.559000,Gymnasio,4,Plateia Glyfadas,1,2024-04-24 08:02:12.749196,2024-04-24 08:06:47.000000,2024-04-24 08:14:37.000000,2024-04-24 08:04:27.904597,2024-04-24 08:04:34.298234,1,Gymnasio,4,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,301,319,47,2024-04-24 08:02:29.385000,DEI,8,Plateia Glyfadas,1,2024-04-24 08:02:29.410455,2024-04-24 08:09:05.000000,2024-04-24 08:20:29.000000,2024-04-24 08:10:40.952017,2024-04-24 08:19:21.361997,1,DEI,8,Plateia Glyfadas,1,COMPLETED
